Od zmierzchu do świtu		Karta zmieniająca dzień w noc- Wampiry i Wilkołaki mają dodatkowe 1 nastawienie, Duchy i Bardaki 1 obrażenie każdy
Zapadła noc czarna		Karta zmieniająca noc w dzień- Duchy i Bardaki mają dodatkowe  1 nastawienie, wampiry i Wilkołaki 1 obrażenie każdy
Wampiriada		Każdy Wampir liczy się jako 4 Bardaki. W każdym regionie podliczamy ilość Bardaków + ilość Wampirów *4, Region w których ta ilość przekroczy wyższy poziom dominacji dostają 2 punkty. Punkty dostaje gracz z największą taką ilością, w przypadku remisów nikt nie dostaje punktów
W blasku księżyca		Jeżeli w danym regionie jest więcej Wilkołaków niż innych wyższych ras to każdy gracz dostaje punkta za każdego swojego Wilkolaka 
Ghostbusters		Region z największą ilością Duchów jest podliczany na standardowych zasadach następnie każdy z graczy przenosi swoje Duchy do sąsiednich regionów
Zwierzęcy magnetyzm		Każdy z graczy przesuwa 1 swój pionek z regionu sąsiadującego z Wędrowyczem  na region z Wędrowyczem o ile ma swojego pionka w tym regionie. Jeżeli nie ma pionków, Wędrowycz dostaje 1 mocy.
Wojny klanów		W tej rundzie obrażenia dla Bardaków liczą się podwójnie
Czystki etniczne		Z regionie w którym znajduje się Wędrowycz przesuń wszystkie pionki do innego, sąsiadującego regionu.
Instynkt zabójcy		W regionie w którym stoi Wędrowycz wystaw Totem a następnie przestaw Wędrowycza do regionu z największą ilością pionków. Jedyną możliwością przeniesienia pionków z regionu z Wędrowyczem to zabicie pionka.
MIstyczna mgla		W tej rundzie Wampiry zamieniają sie w mgłę i są nietykalne, ani Wędrowycz ani karty na nie nie dzialają.
 Prekognicja		Odkryj o jedno wydarzenie więcej niż liczba graczy. Następnie począwszy od pierwszego gracza każdy gracz odrzuca jedno wydarzenie. Ostatnie wydarzenie, które zostanie to wydarzenie tej rundy
ANATOL		Każda zagrana kawa w tej rundzie to kawa zbożowa, taka kawa otrzeżwia wędrowycza kompletnie
Bohaterów czas		Wendrowycz detonuje minę telepatyczną w starym majdanie. Wszystkie pionki wyrzszych ras w regionie starego majdanu zchodzą z planszy. Jednakże jest to chwalebne poświęcenie. Za każdego straconego pionka w ten sposób każdy gracz zyskuje punkt zwycięstwa
Zimny niczym Lech		Pierwszy gracz zyskuje punkta za każdego zabitego przez wendrowycza pionka wyższej rasy innego gracza. Jednak traci punkta za każdego zabitego swojego pionka nawet za bardaka.
Wojna kłów		Męska sprawa wojna o to kto ma największego kła. W każdym regionie jeżeli porównaj liczbę wilkolaków i wampirów. Jeżeli danej rasy jest więcej niż drugiej to każdy gracz który nie ma swoich pionków pokonanej rasy w regionie dostaje 2 punkty jeżeli nie ma tych wygrywających traci 2 punkty jeżeli nie ma żadnych traci punkt za to iz nie ma kła.
Mieszana krew		Każdy gracz odwraca na planszy po 3 swoje pionki do góry nogami. Takie pionki liczą się do liczebności regionu lecz nie liczą sie jako właśność gracza. Wendrowycz może je zabić tylko poprzez moc i zabija te pionki w pierwszej kolejności